Fiche usage associé,IDENTIFIANT USAGE,Territoire,Nom du service,Description du service,Lien du service
S’informer sur la provenance et la constitution de ses aliments,269c9853-a39f-488a-b338-448f7221fe9b,National,Open Food Fact,"Open Food Facts est un site et une application mobile permettant d'accéder et de contrinuer à une immense base de données de produits alimentaires créée par tous et pour tous.

",https://fr.openfoodfacts.org
"Faire ses courses, commander, se faire livrer, acheter en proximité",bd28e8a0-c21b-47de-8de5-ffffd947a347,National,Nos meilleures courses,"Livraison de produits équitables, bio ou alternatifs au prix des supermarchés",https://www.nosmeilleurescourses.com/fr/
Cuisiner pour se faire du bien et prendre du plaisir en mangeant,fb24c122-fdf7-47d1-bd54-d33c57ab151c,National,Cuisine Libre,Site libre qui répertorie différente recette,https://www.cuisine-libre.org/
Rester en bonne santé avec le bon équilibre alimentaire,0d507ed2-9a6e-4845-92b0-79af4ef0f298,National,Manger Bouger,"Si vous en mangez moins, sachez qu’augmenter même légèrement sa consommation de légumes et de fruits est bon pour la santé. L’idéal est de varier les fruits et légumes et de les intégrer le plus souvent possible dans vos recettes : gratins, tartes salées ou sucrées…
",https://www.mangerbouger.fr/l-essentiel/les-recommandations-sur-l-alimentation-l-activite-physique-et-la-sedentarite/augmenter/augmenter-les-fruits-et-legumes
Cuisiner pour se faire du bien et prendre du plaisir en mangeant,fb24c122-fdf7-47d1-bd54-d33c57ab151c,National,La cuisine de Bernard,"Des recettes de la plus simple à la plus complexe, détaillées étape par étape avec des photos et des vidéos de qualité.",https://lacuisinedebernard.com
Rester en bonne santé avec le bon équilibre alimentaire,0d507ed2-9a6e-4845-92b0-79af4ef0f298,National,Medoucine,Plateforme de referencement et de rendez vous de practicien de médecine douce en France,https://www.medoucine.com/
Créer sois-même ses produits d’entretiens,e80fae24-a9b7-4a3a-b18e-f27066ff0f5e,National,4 Recettes de produits ménagers maison,"Un anticalcaire, de la lessive, de l'assouplissant et des tablettes pour lave-vaisselle à faire soi-même...",https://www.youtube.com/watch?v=wt8i6hTwOng
Gérer de manière économe et responsable sa consommation d’eau et d’énergie,2b342350-63d5-4d25-babd-287967896458,National,Agir pour la transition,La facture d’eau des ménages français n’est pas anodine puisqu’elle se situe à hauteur de 500 € par an. Sans compter le coût de l’énergie nécessaire pour la chauffer. Une bonne raison de réduire sa consommation d’eau !,https://agirpourlatransition.ademe.fr/particuliers/conso/conso-responsable/astuces-economiser-leau-a-maison-alleger-factures
Trouver des invendus et des bonnes affaires pour éviter le gaspillage,4e343338-df53-4ec8-af74-0151a50bbc88,National,Donnons,"Donnons.org est le site de référence du don d'objets sur Internet.
Gratuit et au service de tous, il participe depuis 10 ans à l'entraide sociale, l'économie circulaire et à la réduction des déchets.",https://donnons.org
"Mieux utiliser ses déchets : cuisiner les restes, réutiliser, composter, trier",146e85b3-4af9-4e4f-8599-e09b8208b2c1,National,Réussir son compost,À quoi sert le compost ? Quelle compostière choisir ? Et quels déchets y jeter ? Des conseils pour réussir son compostage domestique.,https://www.ecoconso.be/fr/content/tout-ce-quil-faut-savoir-pour-reussir-son-compost
S’alimenter tout au long de la semaine,d57dd406-5c70-4c8b-a70f-085ec006010d,National,Open Food Fact,"Open Food Facts est un site et une application mobile permettant d'accéder et de contrinuer à une immense base de données de produits alimentaires créée par tous et pour tous.

",https://fr.openfoodfacts.org
Partager des savoir-faire et cuisiner ensemble (parentalité),5acd5993-3fb7-464d-843b-88549a2fd1a4,National,L'observatoire de la parentalité et de l'éducation au numérique (OPEN),L’Observatoire de la Parentalité & de l’Éducation Numérique (OPEN) est la première association française 100% mobilisée autour de l’accompagnement des parents et des professionnels sur les sujets de parentalité numérique…,https://www.open-asso.org
Partager la charge mentale de la famille (égalité femme / homme),9cf73f1f-3ca6-4c86-91e0-04f2f2fb4582,National,Répondre aux arguments contre la charge mentale,5 arguments contre la charge mentale déconstruits pour une plus juste répartition des tâches domestiques et familiales.,https://www.youtube.com/watch?v=zsUANV6DGyY
Déménager et changer de lieu de vie,54679fc4-6380-4cf0-b500-892c0db69b8d,National,Service-public,Service public propose un récapitulatif de toutes les démarches à effectuer lorsque vous déménagez,https://www.service-public.fr/particuliers/vosdroits/F14128
"Troquer, vendre et partager des outils",82b70725-da45-43cb-bb96-b70bbc4aa6d1,National,SMILE,Plateforme de partage de bien et de service entre voisin,https://fr.smiile.com/
Stocker et archiver ses affaires et ses données,f411d459-b6e7-4e06-9c1d-692cab4f46bc,National,Ministère de l'intérieur ,,https://www.interieur.gouv.fr/actualites/actu-du-ministere/sauvegarde-des-donnees-informatiques-nos-conseils-pour-en-avoir
Stocker et archiver ses affaires et ses données,f411d459-b6e7-4e06-9c1d-692cab4f46bc,National,Cybermalveillance.gouv,Vidéo tutoriel sur la sauvegarde des données,https://youtu.be/kOAdEKU86nI
Stocker et archiver ses affaires et ses données,f411d459-b6e7-4e06-9c1d-692cab4f46bc,National,Cybermalveillance.gouv,,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/bonnes-pratiques/sauvegardes
Stocker et archiver ses affaires et ses données,f411d459-b6e7-4e06-9c1d-692cab4f46bc,National,Data.gouv,Retrouvez des milliers de données libres sur ce portail gouvernemental ,https://www.data.gouv.fr/fr/
Choisir et entretenir son moyen de transports,01a3e67f-f665-4fa4-868c-8bc00b664c0c,National,Sécurité routière,"Comment, quand et où faire entretenir votre voiture ? Les réponses figurent sur ce site de la sécurité routière",https://www.securite-routiere.gouv.fr/chacun-son-mode-de-deplacement/dangers-de-la-route-en-voiture/entretien-de-la-voiture/conseils-pour
Choisir et entretenir son moyen de transports,01a3e67f-f665-4fa4-868c-8bc00b664c0c,National,"Annuaire des garages solidaires 
Pôle emploi",Trouvez un garage aux tarifs adaptés à votre situation en proximité de chez vous,https://mes-aides.pole-emploi.fr/transport-et-mobilite/garages-solidaires
Planifier mes déplacements,d60d5968-90f2-4c40-892e-6ba495a133f4,National,Blablacar,Blabalcar est une plateforme mettant de covoiturage ,https://www.blablacar.fr/
Planifier mes déplacements,d60d5968-90f2-4c40-892e-6ba495a133f4,National,Mobicoop,"Mobicoop est une plateforme de covoiturage libre, sans commision et coopératif",https://www.mobicoop.fr/
Planifier mes déplacements,d60d5968-90f2-4c40-892e-6ba495a133f4,National,SNCF,Réservez vos billets de train et de bus,https://www.sncf-connect.com/
Faire de la musique et apprendre un instrument de musique,34beae75-e784-479e-a2ee-281decdd8961,National,Acadezik,"Ce site permet à toute personne passionnée de musique d’apprendre gratuitement.
Vous retrouverez sur ce site un large choix de services musicaux : cours d’instruments de musique, cours de solfège, cours de chant, cours de danse, karaokés…",https://www.acadezik.com/
"Bricoler, fabriquer soi-même et apprendre à utiliser les outils",9029c5f3-0f25-46bf-bc09-ec1416871e4a,National,TWIZA,"Réseau d'entraide pour un habitat écologique, convivial et résilient qui proposent un grand nombre de chantier participatif dans toute la France",https://fr.twiza.org/
Accéder à un professionnel de santé,ef077fdb-9689-448b-96f4-89ec5c0a8194,National,Mon espace santé,Mon espace santé vous offre la possibilité de partager vos documents et données de santé en toute sécurité avec un professionnel de santé,https://www.monespacesante.fr/
Accéder à un professionnel de santé,ef077fdb-9689-448b-96f4-89ec5c0a8194,National,ameli,"Retrouver tous les professionels de santé sur l'annuaire d'Ameli, le site de l'assurance maladie",http://annuairesante.ameli.fr/
Accéder à un professionnel de santé,ef077fdb-9689-448b-96f4-89ec5c0a8194,National,Doctolib,Prenez rendez-vous en ligne avec le professionnel de snaté de votre choix,https://www.doctolib.fr/
